-1	-1	-1	-1	-1	179	180	182	183	-1	185	186	188	189	191	192	-1	-1	-1	-1
178	177	176	174	173	181	171	170	184	168	167	166	165	164	187	162	161	190	159	158
142	143	175	141	140	172	145	146	169	148	149	166	151	152	163	154	155	156	160	157
-1	-1	-1	-1	-1	144	139	138	147	136	135	150	133	132	153	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	137	134	131	130	129	128	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	193	192	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	195	194	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	197	196	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	198	199	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	200	201	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	202	203	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	205	204	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	207	206	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	209	208	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	211	210	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	213	212	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	221	215	214	237	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	222	220	229	216	238	236	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	223	219	228	230	239	235	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	122	123	224	218	227	231	240	234	244	245	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	121	124	-1	217	226	232	241	-1	243	246	-1	-1	-1	-1	-
-1	-1	-1	-1	-1	120	125	-1	-1	225	233	-1	-1	242	247	-1	-1	-1	-1	-1
